question_id,quiz_id,question_title,question_description,question_type,question_mark,question_settings,question_order
1,6204,"Question 1",,true_false,1.00,a:0:{},1
2,6217,"Question 2",,true_false,1.00,a:0:{},1
3,6354,"Question 3",,true_false,1.00,a:0:{},1
4,6354,"Question 4",,true_false,1.00,a:0:{},2
5,7390,"อะไรคือ การย่อยปัญหา ?",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",1
6,7390,"ข้อความต่อไปนี้รวบรวมคำจำกัดความของการจดจำรูปแบบจริง หรือไม่ : การจดจำรูปแบบเป็นกระบวนการที่เราค้นหาขั้นตอนการซ้ำภายในปัญหา",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",2
7,7390,"ข้อใดต่อไปนี้เป็นแง่มุมของการแสดงข้อมูลด้านนามธรรม? (ตอบได้หลายข้อ)",,multiple_choice,1.00,"a:3:{s:13:"question_type";s:15:"multiple_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",3
8,7390,"ข้อใดต่อไปนี้เป็นองค์ประกอบสำคัญของอัลกอริทึม (ตอบได้หลายข้อ)",,multiple_choice,1.00,"a:3:{s:13:"question_type";s:15:"multiple_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",4
9,7390,ข้อใดคือความหมายที่ถูกต้องของวิทยาการคอมพิวเตอร์,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",5
10,7390,"234 มีค่าเท่ากับเท่าใดในเลขฐานสอง",,single_choice,1.00,"a:2:{s:13:"question_type";s:13:"single_choice";s:13:"question_mark";s:4:"1.00";}",6
11,7390,"1 1 0 1 1 1 2 มีค่าเท่ากับเท่าใดในเลขฐานสิบ",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",7
12,7390,"มาตรฐาน ASCII คืออะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",8
13,7390,ข้อใดคือการเขียนผังงานที่ดี,,single_choice,1.00,"a:2:{s:13:"question_type";s:13:"single_choice";s:13:"question_mark";s:4:"1.00";}",9
14,7390,การเขียนรหัสเทียมมีลักษณะอย่างไร,,single_choice,1.00,"a:2:{s:13:"question_type";s:13:"single_choice";s:13:"question_mark";s:4:"1.00";}",10
15,7390,"โปรแกรม Scratch คืออะไร",,single_choice,1.00,"a:2:{s:13:"question_type";s:13:"single_choice";s:13:"question_mark";s:4:"1.00";}",11
16,7390,"ข้อใดคือความหมายของ HTML",,single_choice,1.00,"a:2:{s:13:"question_type";s:13:"single_choice";s:13:"question_mark";s:4:"1.00";}",12
17,7390,"ข้อใดคือ ข้อมูลแบบคิว",,single_choice,1.00,"a:2:{s:13:"question_type";s:13:"single_choice";s:13:"question_mark";s:4:"1.00";}",13
18,7390,"ข้อใดคือความหมายของ Data Bus",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",14
19,7390,"ข้อใดอธิบายการทำงานของ CPU ผิดจากความเป็นจริง",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",15
20,7390,"ข้อใดกล่าวถึง Topology ได้ถูกต้อง",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",16
21,7390,"บูลีนใน JAVA คืออะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",17
22,7390,"การออกแบบ หมายความว่าอย่างไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",18
23,7390,อินเทอร์เน็ตมีลักษณะสำคัญอย่างไร,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",19
24,7390,ข้อใดไม่ไช่ตัวอย่างของการเข้ารหัส,,single_choice,1.00,"a:2:{s:13:"question_type";s:13:"single_choice";s:13:"question_mark";s:4:"1.00";}",20
25,7390,"ข้อแตกต่างระหว่าง WAN ต่างกับ LAN อย่างไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",21
26,7390,"แบบจำลองของ OSI มีจำนวนด้วยกันทั้งหมดกี่ Layers",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",22
27,7390,ข้อใดคือความหมายของไฟร์วอลล์,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",23
28,7390,"ภาษา HTML มีความหมายตรงกับข้อใด",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",24
29,7390,"JavaScript คือ ______ Side scripting language",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",25
