attempt_id,course_id,quiz_id,user_id,total_questions,total_answered_questions,total_marks,earned_marks,attempt_info,attempt_status,attempt_ip,attempt_started_at,attempt_ended_at,is_manually_reviewed,manually_reviewed_at
1,6190,7390,1,10,10,10.00,7.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.121.26,"2019-12-03 06:04:31","2019-12-03 06:07:26",NULL,NULL
2,6190,7390,1,10,1,10.00,0.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.121.26,"2019-12-03 06:50:05","2019-12-03 06:50:33",NULL,NULL
3,6190,7390,1,10,10,10.00,2.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.121.26,"2019-12-03 07:03:58","2019-12-03 07:04:35",NULL,NULL
4,6190,7390,1,10,8,10.00,2.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.121.26,"2019-12-03 07:05:28","2019-12-03 07:05:53",NULL,NULL
5,6190,7390,1,10,10,10.00,8.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.121.26,"2019-12-03 07:06:15","2019-12-03 07:07:01",NULL,NULL
6,6190,7390,1,10,10,10.00,8.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.112.119,"2019-12-03 08:01:52","2019-12-03 08:03:02",NULL,NULL
7,6190,7474,1,5,5,5.00,5.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.112.119,"2019-12-03 09:07:22","2019-12-03 09:08:18",NULL,NULL
8,6190,7474,1,10,10,10.00,10.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.112.119,"2019-12-03 10:04:36","2019-12-03 10:07:14",NULL,NULL
9,6190,7474,1,18,18,18.00,17.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"18";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"hide_question_number_overview";s:1:"1";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.112.119,"2019-12-03 11:32:33","2019-12-03 11:36:09",NULL,NULL
10,6190,7505,1,3,3,3.00,0.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.112.119,"2019-12-03 17:02:52","2019-12-03 17:03:01",NULL,NULL
